noisePercent,toolA,toolB,pair,cancerType,sampleCount,flattenedRawExposurePearson,perSampleRawExposurePearsonMean,perSampleRawExposurePearsonSd,perSampleRawExposurePearsonMedian,perSampleRawExposurePearsonQ1,perSampleRawExposurePearsonQ3,perSampleRawExposurePearsonMin,perSampleRawExposurePearsonMax,activeJaccardMean,activeJaccardSd,activeJaccardMedian,activeJaccardQ1,activeJaccardQ3,activeJaccardMin,activeJaccardMax
0,deconstructSigs,SigProfilerAssignment,deconstructSigs vs SigProfilerAssignment,SP.Syn.Bone-Osteosarc,300,0.992233,0.991829,0.025715,0.999437,0.994793,0.999979,0.752229,1,0.765347,0.302628,1,0.5,1,0.111111,1
0,deconstructSigs,SigProfilerAssignment,deconstructSigs vs SigProfilerAssignment,SP.Syn.Breast-AdenoCA,300,0.993159,0.992368,0.025653,0.999793,0.996953,0.999995,0.789922,1,0.848541,0.252021,1,0.7875,1,0.1,1
0,deconstructSigs,SigProfilerAssignment,deconstructSigs vs SigProfilerAssignment,SP.Syn.Cervix-AdenoCA,300,0.999871,0.999933,0.000316,0.999997,0.999995,0.999998,0.996424,0.999999,0.996111,0.03955,1,1,1,0.5,1
0,deconstructSigs,SigProfilerAssignment,deconstructSigs vs SigProfilerAssignment,SP.Syn.Eso-AdenoCA,300,0.988946,0.989149,0.024103,0.999613,0.991656,0.999977,0.792603,1,0.806761,0.255817,1,0.666667,1,0.176471,1
0,deconstructSigs,SigProfilerAssignment,deconstructSigs vs SigProfilerAssignment,SP.Syn.Kidney-RCC,300,0.997911,0.998307,0.003346,0.999992,0.997941,0.999998,0.977367,1,0.774319,0.328581,1,0.4,1,0.111111,1
0,deconstructSigs,SigProfilerAssignment,deconstructSigs vs SigProfilerAssignment,SP.Syn.Lung-SCC,300,0.99581,0.996231,0.010483,0.999791,0.998173,0.999997,0.91463,1,0.853318,0.25125,1,0.75,1,0.1875,1
0,deconstructSigs,SigProfilerAssignment,deconstructSigs vs SigProfilerAssignment,SP.Syn.Ovary-AdenoCA,300,0.996996,0.996978,0.010377,0.999993,0.999695,0.999998,0.900465,1,0.903217,0.216489,1,1,1,0.125,1
0,deconstructSigs,SigProfilerAssignment,deconstructSigs vs SigProfilerAssignment,SP.Syn.Stomach-AdenoCA,300,0.993379,0.99249,0.022197,0.998767,0.994238,0.999836,0.681451,1,0.736092,0.241137,0.75,0.571429,1,0.142857,1
0,deconstructSigs,MuSiCal,deconstructSigs vs MuSiCal,SP.Syn.Bladder-TCC,300,0.989622,0.987732,0.027974,0.999555,0.993765,0.999987,0.786866,1,0.755574,0.301399,1,0.5,1,0.1875,1
0,deconstructSigs,MuSiCal,deconstructSigs vs MuSiCal,SP.Syn.Bone-Osteosarc,300,0.995928,0.995951,0.010501,0.999254,0.996796,0.999967,0.903821,1,0.770346,0.275525,1,0.5,1,0.111111,1
0,deconstructSigs,MuSiCal,deconstructSigs vs MuSiCal,SP.Syn.Breast-AdenoCA,300,0.994711,0.993962,0.019554,0.999792,0.99758,0.999995,0.840312,1,0.862629,0.244566,1,0.8,1,0.1,1
0,deconstructSigs,MuSiCal,deconstructSigs vs MuSiCal,SP.Syn.Cervix-AdenoCA,300,0.99987,0.999932,0.000316,0.999997,0.999995,0.999998,0.996444,0.999999,0.996111,0.03955,1,1,1,0.5,1
0,deconstructSigs,MuSiCal,deconstructSigs vs MuSiCal,SP.Syn.Eso-AdenoCA,300,0.995051,0.994959,0.013672,0.999834,0.996878,0.999982,0.880446,1,0.847743,0.239897,1,0.75,1,0.176471,1
0,deconstructSigs,MuSiCal,deconstructSigs vs MuSiCal,SP.Syn.Kidney-RCC,300,0.997552,0.998239,0.003253,0.999979,0.997733,0.999997,0.97736,1,0.747771,0.313658,1,0.4,1,0.111111,1
0,deconstructSigs,MuSiCal,deconstructSigs vs MuSiCal,SP.Syn.Lung-SCC,300,0.995886,0.996264,0.01046,0.999797,0.998162,0.999997,0.914638,1,0.856655,0.24904,1,0.75,1,0.1875,1
0,deconstructSigs,MuSiCal,deconstructSigs vs MuSiCal,SP.Syn.Ovary-AdenoCA,300,0.997369,0.997644,0.007566,0.999989,0.998883,0.999998,0.900497,1,0.88904,0.212177,1,0.833333,1,0.142857,1
0,deconstructSigs,MuSiCal,deconstructSigs vs MuSiCal,SP.Syn.Stomach-AdenoCA,300,0.996547,0.996067,0.019798,0.999593,0.998309,0.99992,0.681436,1,0.823135,0.222457,1,0.666667,1,0.1875,1
0,sigminer,SigProfilerAssignment,sigminer vs SigProfilerAssignment,SP.Syn.Bladder-TCC,300,0.997136,0.997208,0.011294,0.999998,0.999991,1,0.884782,1,0.971611,0.087178,1,1,1,0.25,1
0,sigminer,SigProfilerAssignment,sigminer vs SigProfilerAssignment,SP.Syn.Bone-Osteosarc,300,0.996061,0.996146,0.014222,0.999942,0.999653,0.999982,0.867752,1,0.941893,0.130794,1,1,1,0.1,1
0,sigminer,SigProfilerAssignment,sigminer vs SigProfilerAssignment,SP.Syn.Breast-AdenoCA,300,0.998827,0.998839,0.008543,0.999976,0.999921,0.99999,0.882561,0.999999,0.974222,0.081252,1,1,1,0.5,1
0,sigminer,SigProfilerAssignment,sigminer vs SigProfilerAssignment,SP.Syn.Cervix-AdenoCA,300,0.99997,0.999978,0.000022,0.999983,0.999973,0.99999,0.999717,0.999998,1,0,1,1,1,1,1
0,sigminer,SigProfilerAssignment,sigminer vs SigProfilerAssignment,SP.Syn.Eso-AdenoCA,300,0.992946,0.993319,0.019638,0.999991,0.998426,0.999999,0.794176,1,0.920194,0.135701,1,0.833333,1,0.333333,1
0,sigminer,SigProfilerAssignment,sigminer vs SigProfilerAssignment,SP.Syn.Kidney-RCC,300,0.99989,0.999895,0.000737,0.999989,0.999972,0.999996,0.988779,1,0.993667,0.041822,1,1,1,0.6,1
0,sigminer,SigProfilerAssignment,sigminer vs SigProfilerAssignment,SP.Syn.Lung-SCC,300,0.999909,0.999944,0.000581,1,0.999999,1,0.99047,1,0.988556,0.067322,1,1,1,0.5,1
0,sigminer,SigProfilerAssignment,sigminer vs SigProfilerAssignment,SP.Syn.Ovary-AdenoCA,300,0.998679,0.998612,0.007597,0.999987,0.999956,0.999995,0.924825,1,0.976103,0.081147,1,1,1,0.428571,1
0,sigminer,SigProfilerAssignment,sigminer vs SigProfilerAssignment,SP.Syn.Stomach-AdenoCA,300,0.99637,0.996161,0.009459,0.999686,0.997463,0.999976,0.936084,1,0.836405,0.184002,0.833333,0.714286,1,0.2,1
0,sigminer,MuSiCal,sigminer vs MuSiCal,SP.Syn.Bladder-TCC,300,0.999857,0.999874,0.000782,0.999998,0.999993,0.999999,0.993365,1,0.994722,0.032184,1,1,1,0.75,1
0,sigminer,MuSiCal,sigminer vs MuSiCal,SP.Syn.Bone-Osteosarc,300,0.998825,0.999153,0.001722,0.999845,0.999209,0.999974,0.984335,1,0.912608,0.131316,1,0.8,1,0.272727,1
0,sigminer,MuSiCal,sigminer vs MuSiCal,SP.Syn.Breast-AdenoCA,300,0.999806,0.999894,0.000307,0.999973,0.999925,0.999988,0.997022,0.999999,0.9895,0.059634,1,1,1,0.4,1
0,sigminer,MuSiCal,sigminer vs MuSiCal,SP.Syn.Cervix-AdenoCA,300,0.99997,0.999978,0.000022,0.999983,0.999974,0.999989,0.999722,0.999998,1,0,1,1,1,1,1
0,sigminer,MuSiCal,sigminer vs MuSiCal,SP.Syn.Eso-AdenoCA,300,0.999381,0.999484,0.001513,0.999996,0.999885,0.999999,0.985468,1,0.968706,0.072054,1,1,1,0.6,1
0,sigminer,MuSiCal,sigminer vs MuSiCal,SP.Syn.Kidney-RCC,300,0.999372,0.999686,0.000736,0.999984,0.999917,0.999994,0.996453,1,0.938222,0.125013,1,1,1,0.666667,1
0,sigminer,MuSiCal,sigminer vs MuSiCal,SP.Syn.Lung-SCC,300,0.999983,0.999987,0.000024,0.999999,0.999985,1,0.999803,1,1,0,1,1,1,1,1
0,sigminer,MuSiCal,sigminer vs MuSiCal,SP.Syn.Ovary-AdenoCA,300,0.998982,0.999189,0.002425,0.999983,0.999864,0.999995,0.977038,1,0.953794,0.101789,1,1,1,0.5,1
0,sigminer,MuSiCal,sigminer vs MuSiCal,SP.Syn.Stomach-AdenoCA,300,0.999264,0.999379,0.001818,0.999946,0.999662,0.999993,0.983645,1,0.93348,0.121729,1,0.85119,1,0.5,1
0,SigProfilerAssignment,MuSiCal,SigProfilerAssignment vs MuSiCal,SP.Syn.Bladder-TCC,300,0.997143,0.997226,0.011316,1,1,1,0.884766,1,0.973,0.08479,1,1,1,0.25,1
0,SigProfilerAssignment,MuSiCal,SigProfilerAssignment vs MuSiCal,SP.Syn.Bone-Osteosarc,300,0.995549,0.996047,0.013712,1,0.998405,1,0.865932,1,0.890171,0.148109,1,0.8,1,0.166667,1
0,SigProfilerAssignment,MuSiCal,SigProfilerAssignment vs MuSiCal,SP.Syn.Breast-AdenoCA,300,0.998784,0.998858,0.008419,1,1,1,0.883863,1,0.971556,0.089717,1,1,1,0.333333,1
0,SigProfilerAssignment,MuSiCal,SigProfilerAssignment vs MuSiCal,SP.Syn.Cervix-AdenoCA,300,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
0,SigProfilerAssignment,MuSiCal,SigProfilerAssignment vs MuSiCal,SP.Syn.Eso-AdenoCA,300,0.992761,0.99323,0.019971,1,0.998429,1,0.79484,1,0.91402,0.134781,1,0.833333,1,0.333333,1
0,SigProfilerAssignment,MuSiCal,SigProfilerAssignment vs MuSiCal,SP.Syn.Kidney-RCC,300,0.999273,0.999603,0.001107,1,1,1,0.98881,1,0.936389,0.127706,1,1,1,0.5,1
0,SigProfilerAssignment,MuSiCal,SigProfilerAssignment vs MuSiCal,SP.Syn.Lung-SCC,300,0.999896,0.999935,0.000581,1,0.999985,1,0.990419,1,0.988556,0.067322,1,1,1,0.5,1
0,SigProfilerAssignment,MuSiCal,SigProfilerAssignment vs MuSiCal,SP.Syn.Ovary-AdenoCA,300,0.998715,0.998869,0.004884,1,1,1,0.942631,1,0.95219,0.102482,1,1,1,0.5,1
0,SigProfilerAssignment,MuSiCal,SigProfilerAssignment vs MuSiCal,SP.Syn.Stomach-AdenoCA,300,0.996445,0.99624,0.010364,0.999939,0.997834,1,0.927551,1,0.855127,0.185659,1,0.75,1,0.166667,1
5,deconstructSigs,sigminer,deconstructSigs vs sigminer,SP.Syn.Bladder-TCC,300,0.977146,0.973724,0.037526,0.989621,0.96417,0.998701,0.792,0.99999,0.556692,0.208113,0.545455,0.4,0.714286,0.1,1
5,deconstructSigs,sigminer,deconstructSigs vs sigminer,SP.Syn.Bone-Osteosarc,300,0.995716,0.995055,0.010098,0.998616,0.995173,0.999607,0.92499,0.999992,0.670659,0.247579,0.696154,0.492647,0.875,0.1,1
5,deconstructSigs,sigminer,deconstructSigs vs sigminer,SP.Syn.Breast-AdenoCA,300,0.987248,0.985552,0.026758,0.997239,0.984507,0.999053,0.794537,0.999982,0.652709,0.201202,0.666667,0.5,0.8,0.166667,1
5,deconstructSigs,sigminer,deconstructSigs vs sigminer,SP.Syn.Cervix-AdenoCA,300,0.994843,0.995821,0.01577,0.999415,0.998168,0.999833,0.828409,0.999989,0.657466,0.235712,0.645833,0.466578,0.833333,0.2,1
5,deconstructSigs,sigminer,deconstructSigs vs sigminer,SP.Syn.Eso-AdenoCA,300,0.990374,0.989124,0.021036,0.996038,0.988153,0.999004,0.777389,0.99999,0.657053,0.205471,0.666667,0.5,0.8,0.1875,1
5,deconstructSigs,sigminer,deconstructSigs vs sigminer,SP.Syn.Kidney-RCC,300,0.998082,0.998288,0.002157,0.999013,0.997884,0.99963,0.983818,0.999996,0.61931,0.266986,0.625,0.428571,0.8,0.083333,1
5,deconstructSigs,sigminer,deconstructSigs vs sigminer,SP.Syn.Lung-SCC,300,0.991902,0.991998,0.018026,0.997978,0.993527,0.999335,0.821036,0.999969,0.651236,0.195851,0.666667,0.5,0.8,0.2,1
5,deconstructSigs,sigminer,deconstructSigs vs sigminer,SP.Syn.Ovary-AdenoCA,300,0.996881,0.996487,0.009266,0.998907,0.997317,0.999585,0.897951,0.999987,0.750288,0.216312,0.777778,0.6,1,0.142857,1
5,deconstructSigs,sigminer,deconstructSigs vs sigminer,SP.Syn.Stomach-AdenoCA,300,0.99414,0.993023,0.019692,0.998308,0.994603,0.999602,0.75716,0.999991,0.678411,0.211142,0.666667,0.538462,0.833333,0.111111,1
5,deconstructSigs,SigProfilerAssignment,deconstructSigs vs SigProfilerAssignment,SP.Syn.Bladder-TCC,300,0.952378,0.944076,0.082322,0.980105,0.919,0.998613,0.380657,0.999982,0.466433,0.250525,0.363636,0.272727,0.625,0.125,1
5,deconstructSigs,SigProfilerAssignment,deconstructSigs vs SigProfilerAssignment,SP.Syn.Bone-Osteosarc,300,0.984976,0.9831,0.044106,0.996081,0.988007,0.999108,0.619576,0.999934,0.591445,0.286078,0.6,0.333333,0.8,0.071429,1
5,deconstructSigs,SigProfilerAssignment,deconstructSigs vs SigProfilerAssignment,SP.Syn.Breast-AdenoCA,300,0.973795,0.967358,0.060141,0.994862,0.965353,0.998912,0.609963,0.999983,0.570012,0.250827,0.571429,0.357143,0.8,0.111111,1
5,deconstructSigs,SigProfilerAssignment,deconstructSigs vs SigProfilerAssignment,SP.Syn.Cervix-AdenoCA,300,0.995794,0.995912,0.023969,0.99922,0.99848,0.999537,0.63063,0.999903,0.590312,0.224093,0.5,0.4,0.666667,0.133333,1
5,deconstructSigs,SigProfilerAssignment,deconstructSigs vs SigProfilerAssignment,SP.Syn.Eso-AdenoCA,300,0.970479,0.967002,0.057211,0.98815,0.964684,0.997341,0.595069,0.99997,0.586919,0.234721,0.571429,0.396154,0.8,0.125,1
5,deconstructSigs,SigProfilerAssignment,deconstructSigs vs SigProfilerAssignment,SP.Syn.Kidney-RCC,300,0.996399,0.996745,0.006206,0.998778,0.996732,0.999466,0.92623,1,0.588121,0.297097,0.6,0.285714,0.8,0.071429,1
5,deconstructSigs,SigProfilerAssignment,deconstructSigs vs SigProfilerAssignment,SP.Syn.Lung-SCC,300,0.984429,0.984197,0.030372,0.993448,0.983685,0.99856,0.671589,0.999897,0.508641,0.216577,0.5,0.333333,0.666667,0.125,1
5,deconstructSigs,SigProfilerAssignment,deconstructSigs vs SigProfilerAssignment,SP.Syn.Ovary-AdenoCA,300,0.989683,0.990001,0.022835,0.998071,0.993258,0.999234,0.814019,0.999978,0.695815,0.238607,0.75,0.571429,0.833333,0.1,1
5,deconstructSigs,SigProfilerAssignment,deconstructSigs vs SigProfilerAssignment,SP.Syn.Stomach-AdenoCA,300,0.985257,0.982537,0.032613,0.99509,0.981238,0.998529,0.720958,0.999951,0.526352,0.213475,0.5,0.363636,0.666667,0.125,1
5,deconstructSigs,MuSiCal,deconstructSigs vs MuSiCal,SP.Syn.Bladder-TCC,300,0.960552,0.95356,0.062667,0.980744,0.92915,0.998718,0.623606,0.999982,0.483592,0.256013,0.4,0.285714,0.666667,0.090909,1
5,deconstructSigs,MuSiCal,deconstructSigs vs MuSiCal,SP.Syn.Bone-Osteosarc,300,0.992647,0.991241,0.017388,0.997443,0.99172,0.999194,0.845878,0.999975,0.637671,0.272043,0.666667,0.4,0.833333,0.1,1
5,deconstructSigs,MuSiCal,deconstructSigs vs MuSiCal,SP.Syn.Breast-AdenoCA,300,0.978815,0.972333,0.048508,0.996787,0.97133,0.999225,0.718889,0.99996,0.608196,0.251969,0.6,0.372159,0.8,0.111111,1
5,deconstructSigs,MuSiCal,deconstructSigs vs MuSiCal,SP.Syn.Cervix-AdenoCA,300,0.995796,0.995914,0.023964,0.999218,0.998479,0.999537,0.630651,0.999903,0.590312,0.224093,0.5,0.4,0.666667,0.133333,1
5,deconstructSigs,MuSiCal,deconstructSigs vs MuSiCal,SP.Syn.Eso-AdenoCA,300,0.983317,0.980701,0.029171,0.991871,0.977488,0.998146,0.791404,0.999969,0.642501,0.233378,0.636364,0.444444,0.833333,0.125,1
5,deconstructSigs,MuSiCal,deconstructSigs vs MuSiCal,SP.Syn.Kidney-RCC,300,0.996791,0.997265,0.003997,0.998802,0.99704,0.99946,0.974715,1,0.58347,0.279058,0.6,0.333333,0.75,0.071429,1
5,deconstructSigs,MuSiCal,deconstructSigs vs MuSiCal,SP.Syn.Lung-SCC,300,0.984496,0.984363,0.030416,0.993814,0.983771,0.998744,0.671523,0.999898,0.528066,0.223331,0.5,0.333333,0.666667,0.125,1
5,deconstructSigs,MuSiCal,deconstructSigs vs MuSiCal,SP.Syn.Ovary-AdenoCA,300,0.994455,0.993969,0.016213,0.998449,0.995092,0.999358,0.813834,0.999981,0.725175,0.228802,0.75,0.6,1,0.125,1
5,deconstructSigs,MuSiCal,deconstructSigs vs MuSiCal,SP.Syn.Stomach-AdenoCA,300,0.990194,0.987958,0.02704,0.997239,0.987512,0.999306,0.721002,0.999977,0.603921,0.218037,0.6,0.444444,0.75,0.125,1
5,sigminer,SigProfilerAssignment,sigminer vs SigProfilerAssignment,SP.Syn.Bladder-TCC,300,0.982663,0.982507,0.028686,0.99343,0.981282,0.997863,0.823264,0.999964,0.582097,0.201206,0.571429,0.444444,0.714286,0.111111,1
5,sigminer,SigProfilerAssignment,sigminer vs SigProfilerAssignment,SP.Syn.Bone-Osteosarc,300,0.987401,0.986504,0.03657,0.997351,0.991553,0.998974,0.57819,0.999895,0.640609,0.205312,0.625,0.5,0.8,0.111111,1
5,sigminer,SigProfilerAssignment,sigminer vs SigProfilerAssignment,SP.Syn.Breast-AdenoCA,300,0.985545,0.985247,0.03067,0.995098,0.986842,0.997583,0.74873,0.999812,0.592062,0.18164,0.571429,0.444444,0.714286,0.142857,1
5,sigminer,SigProfilerAssignment,sigminer vs SigProfilerAssignment,SP.Syn.Cervix-AdenoCA,300,0.989694,0.991232,0.031788,0.997914,0.994787,0.998861,0.605668,0.999845,0.413193,0.20352,0.4,0.25,0.5,0.125,1
5,sigminer,SigProfilerAssignment,sigminer vs SigProfilerAssignment,SP.Syn.Eso-AdenoCA,300,0.97975,0.979484,0.033575,0.992498,0.978029,0.997436,0.748421,0.999929,0.66404,0.190696,0.666667,0.5,0.8,0.153846,1
5,sigminer,SigProfilerAssignment,sigminer vs SigProfilerAssignment,SP.Syn.Kidney-RCC,300,0.996563,0.996652,0.00531,0.998241,0.996268,0.999035,0.937894,0.99997,0.627427,0.201166,0.6,0.5,0.75,0.166667,1
5,sigminer,SigProfilerAssignment,sigminer vs SigProfilerAssignment,SP.Syn.Lung-SCC,300,0.995624,0.996146,0.004265,0.997466,0.994936,0.998785,0.962352,0.999833,0.626287,0.192059,0.6,0.5,0.75,0.166667,1
5,sigminer,SigProfilerAssignment,sigminer vs SigProfilerAssignment,SP.Syn.Ovary-AdenoCA,300,0.988698,0.989279,0.023084,0.996655,0.991827,0.998203,0.790464,0.999909,0.646234,0.18921,0.666667,0.5,0.8,0.214286,1
5,sigminer,SigProfilerAssignment,sigminer vs SigProfilerAssignment,SP.Syn.Stomach-AdenoCA,300,0.988099,0.987835,0.020465,0.995073,0.986801,0.998032,0.83279,0.999914,0.544401,0.212108,0.5,0.375,0.666667,0.111111,1
5,sigminer,MuSiCal,sigminer vs MuSiCal,SP.Syn.Bladder-TCC,300,0.988486,0.98833,0.01936,0.994352,0.987223,0.997965,0.826538,0.999963,0.607506,0.197565,0.6,0.444444,0.75,0.166667,1
5,sigminer,MuSiCal,sigminer vs MuSiCal,SP.Syn.Bone-Osteosarc,300,0.995506,0.995133,0.010562,0.998288,0.995356,0.999215,0.875099,0.9999,0.706573,0.195634,0.714286,0.555556,0.833333,0.166667,1
5,sigminer,MuSiCal,sigminer vs MuSiCal,SP.Syn.Breast-AdenoCA,300,0.99083,0.990775,0.014176,0.995731,0.989614,0.99821,0.909415,0.999811,0.632074,0.178034,0.625,0.5,0.8,0.230769,1
5,sigminer,MuSiCal,sigminer vs MuSiCal,SP.Syn.Cervix-AdenoCA,300,0.989695,0.991234,0.031782,0.997913,0.994774,0.998864,0.60575,0.999844,0.413193,0.20352,0.4,0.25,0.5,0.125,1
5,sigminer,MuSiCal,sigminer vs MuSiCal,SP.Syn.Eso-AdenoCA,300,0.992265,0.992389,0.009128,0.995401,0.989818,0.998051,0.931279,0.999996,0.743659,0.171182,0.75,0.625,0.857143,0.230769,1
5,sigminer,MuSiCal,sigminer vs MuSiCal,SP.Syn.Kidney-RCC,300,0.997074,0.997218,0.003692,0.998502,0.996509,0.999316,0.970045,0.99997,0.637101,0.194281,0.6,0.5,0.75,0.230769,1
5,sigminer,MuSiCal,sigminer vs MuSiCal,SP.Syn.Lung-SCC,300,0.995951,0.996455,0.003762,0.997536,0.995381,0.998825,0.962326,0.999833,0.647857,0.179414,0.625,0.5,0.8,0.222222,1
5,sigminer,MuSiCal,sigminer vs MuSiCal,SP.Syn.Ovary-AdenoCA,300,0.994137,0.993966,0.014955,0.997076,0.993845,0.998472,0.790271,0.999926,0.686913,0.184425,0.666667,0.555556,0.8,0.214286,1
5,sigminer,MuSiCal,sigminer vs MuSiCal,SP.Syn.Stomach-AdenoCA,300,0.993491,0.993469,0.010912,0.996746,0.993089,0.998622,0.88596,0.999999,0.646792,0.203647,0.666667,0.5,0.8,0.222222,1
5,SigProfilerAssignment,MuSiCal,SigProfilerAssignment vs MuSiCal,SP.Syn.Bladder-TCC,300,0.993685,0.993708,0.021044,1,1,1,0.816354,1,0.946142,0.133628,1,1,1,0.1,1
5,SigProfilerAssignment,MuSiCal,SigProfilerAssignment vs MuSiCal,SP.Syn.Bone-Osteosarc,300,0.991193,0.991315,0.031694,1,0.997046,1,0.61583,1,0.862778,0.173673,1,0.75,1,0.2,1
5,SigProfilerAssignment,MuSiCal,SigProfilerAssignment vs MuSiCal,SP.Syn.Breast-AdenoCA,300,0.995656,0.995749,0.015831,1,0.999048,1,0.88077,1,0.922024,0.139891,1,0.833333,1,0.2,1
5,SigProfilerAssignment,MuSiCal,SigProfilerAssignment vs MuSiCal,SP.Syn.Cervix-AdenoCA,300,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
5,SigProfilerAssignment,MuSiCal,SigProfilerAssignment vs MuSiCal,SP.Syn.Eso-AdenoCA,300,0.987051,0.986736,0.02914,1,0.992661,1,0.805862,1,0.877972,0.161564,1,0.8,1,0.333333,1
5,SigProfilerAssignment,MuSiCal,SigProfilerAssignment vs MuSiCal,SP.Syn.Kidney-RCC,300,0.998834,0.999173,0.004856,1,0.999985,1,0.92751,1,0.925722,0.139378,1,1,1,0.25,1
5,SigProfilerAssignment,MuSiCal,SigProfilerAssignment vs MuSiCal,SP.Syn.Lung-SCC,300,0.999626,0.99969,0.002173,0.999999,0.999977,1,0.966646,1,0.962667,0.117941,1,1,1,0.4,1
5,SigProfilerAssignment,MuSiCal,SigProfilerAssignment vs MuSiCal,SP.Syn.Ovary-AdenoCA,300,0.994254,0.995153,0.018093,1,0.999306,1,0.855402,1,0.922635,0.133672,1,0.8,1,0.5,1
5,SigProfilerAssignment,MuSiCal,SigProfilerAssignment vs MuSiCal,SP.Syn.Stomach-AdenoCA,300,0.994355,0.994222,0.013019,0.999594,0.995195,1,0.886557,1,0.800712,0.208754,0.8,0.666667,1,0.111111,1
10,deconstructSigs,sigminer,deconstructSigs vs sigminer,SP.Syn.Bladder-TCC,300,0.967498,0.96313,0.051902,0.985336,0.950585,0.996979,0.657502,0.999966,0.585205,0.184948,0.571429,0.45202,0.71627,0.090909,1
10,deconstructSigs,sigminer,deconstructSigs vs sigminer,SP.Syn.Bone-Osteosarc,300,0.992766,0.991413,0.015462,0.997102,0.990878,0.999074,0.873968,0.999975,0.639967,0.180743,0.63961,0.5,0.777778,0.2,1
10,deconstructSigs,sigminer,deconstructSigs vs sigminer,SP.Syn.Breast-AdenoCA,300,0.97645,0.972614,0.051419,0.991665,0.972846,0.997348,0.572885,0.99993,0.640328,0.161554,0.63961,0.533333,0.75,0.181818,1
10,deconstructSigs,sigminer,deconstructSigs vs sigminer,SP.Syn.Cervix-AdenoCA,300,0.975674,0.971798,0.072886,0.99665,0.984019,0.999107,0.437215,0.999962,0.609607,0.180321,0.6,0.5,0.75,0.1875,1
10,deconstructSigs,sigminer,deconstructSigs vs sigminer,SP.Syn.Eso-AdenoCA,300,0.98361,0.981299,0.030699,0.991925,0.977815,0.997518,0.745623,0.999981,0.613058,0.178294,0.613248,0.5,0.727273,0.125,1
10,deconstructSigs,sigminer,deconstructSigs vs sigminer,SP.Syn.Kidney-RCC,300,0.995912,0.995873,0.005511,0.997698,0.994901,0.999032,0.945634,0.99998,0.603389,0.188613,0.6,0.465385,0.75,0.090909,1
10,deconstructSigs,sigminer,deconstructSigs vs sigminer,SP.Syn.Lung-SCC,300,0.982127,0.980617,0.033837,0.992912,0.982183,0.997628,0.714262,0.999921,0.629529,0.145074,0.625,0.528638,0.75,0.25,1
10,deconstructSigs,sigminer,deconstructSigs vs sigminer,SP.Syn.Ovary-AdenoCA,300,0.992415,0.990721,0.023263,0.996531,0.991146,0.998626,0.706549,0.999976,0.669515,0.17154,0.666667,0.560764,0.8,0.125,1
