noisePercent,tool,toolLabel,cancerType,sampleCount,rawExposureCosineMean,rawExposureCosineSd,rawExposureCosineMedian,rawExposureCosineQ1,rawExposureCosineQ3,rawExposureCosineMin,rawExposureCosineMax,precisionMean,precisionSd,precisionMedian,precisionQ1,precisionQ3,precisionMin,precisionMax,recallMean,recallSd,recallMedian,recallQ1,recallQ3,recallMin,recallMax,f1Mean,f1Sd,f1Median,f1Q1,f1Q3,f1Min,f1Max,pooledTruePositiveCount,pooledFalsePositiveCount,pooledFalseNegativeCount,pooledPrecision,pooledRecall,pooledF1
0,sigminer,sigminer,SP.Syn.Bone-Osteosarc,300,0.999733,0.002978,0.999973,0.999913,0.99999,0.94849,1,0.997037,0.05132,1,1,1,0.111111,1,0.958659,0.096301,1,1,1,0.5,1,0.974436,0.071935,1,1,1,0.181818,1,1336,8,65,0.994048,0.953605,0.973406
0,sigminer,sigminer,SP.Syn.Breast-AdenoCA,300,0.999956,0.000087,0.999984,0.999954,0.999993,0.999088,1,1,0,1,1,1,1,1,0.954984,0.09225,1,1,1,0.5,1,0.97446,0.053576,1,1,1,0.666667,1,1360,0,70,1,0.951049,0.97491
0,sigminer,sigminer,SP.Syn.Cervix-AdenoCA,300,0.999976,0.000023,0.999982,0.99997,0.999989,0.99973,0.999998,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,600,0,0,1,1,1
0,sigminer,sigminer,SP.Syn.Eso-AdenoCA,300,0.999995,0.00002,0.999999,0.999997,1,0.999707,1,1,0,1,1,1,1,1,0.949598,0.086207,1,0.857143,1,0.666667,1,0.972011,0.048529,1,0.923077,1,0.8,1,1594,0,91,1,0.945994,0.972248
0,sigminer,sigminer,SP.Syn.Kidney-RCC,300,0.999973,0.000066,0.99999,0.999973,0.999996,0.999048,1,1,0,1,1,1,1,1,0.986944,0.061709,1,1,1,0.5,1,0.992278,0.037283,1,1,1,0.666667,1,957,0,16,1,0.983556,0.99171
0,sigminer,sigminer,SP.Syn.Lung-SCC,300,1,0.000001,1,0.999999,1,0.999996,1,1,0,1,1,1,1,1,0.871667,0.11828,0.8,0.8,1,0.6,1,0.927124,0.068542,0.888889,0.888889,1,0.75,1,1140,0,177,1,0.865604,0.927961
0,sigminer,sigminer,SP.Syn.Ovary-AdenoCA,300,0.999966,0.000112,0.999991,0.999976,0.999996,0.998493,1,1,0,1,1,1,1,1,0.987913,0.051786,1,1,1,0.6,1,0.993145,0.029875,1,1,1,0.75,1,1307,0,19,1,0.985671,0.992784
0,sigminer,sigminer,SP.Syn.Stomach-AdenoCA,300,0.999959,0.000361,0.999998,0.99999,1,0.993903,1,0.998667,0.023094,1,1,1,0.6,1,0.844798,0.168793,0.857143,0.75,1,0.142857,1,0.904825,0.11342,0.923077,0.857143,1,0.25,1,1389,2,283,0.998562,0.830742,0.906954
0,sigprofilerassignment,SigProfilerAssignment,SP.Syn.Bladder-TCC,300,0.997286,0.010988,1,1,1,0.887646,1,1,0,1,1,1,1,1,0.948056,0.11409,1,1,1,0.2,1,0.969153,0.072475,1,1,1,0.333333,1,1196,0,73,1,0.942474,0.970385
0,sigprofilerassignment,SigProfilerAssignment,SP.Syn.Bone-Osteosarc,300,0.996459,0.013627,0.999997,0.999939,0.999999,0.873349,1,0.997778,0.027171,1,1,1,0.666667,1,0.918103,0.135821,1,0.833333,1,0.375,1,0.950639,0.086345,1,0.909091,1,0.545455,1,1267,2,134,0.998424,0.904354,0.949064
0,sigprofilerassignment,SigProfilerAssignment,SP.Syn.Breast-AdenoCA,300,0.998936,0.0082,0.999999,0.999997,1,0.886598,1,1,0,1,1,1,1,1,0.933873,0.118434,1,0.833333,1,0.4,1,0.961432,0.071941,1,0.909091,1,0.571429,1,1327,0,103,1,0.927972,0.962641
0,sigprofilerassignment,SigProfilerAssignment,SP.Syn.Cervix-AdenoCA,300,1,0,1,1,1,0.999999,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,600,0,0,1,1,1
0,sigprofilerassignment,SigProfilerAssignment,SP.Syn.Eso-AdenoCA,300,0.993559,0.018861,1,0.998395,1,0.804057,1,0.997667,0.023375,1,1,1,0.75,1,0.880898,0.153449,1,0.8,1,0.333333,1,0.92812,0.09961,1,0.888889,1,0.5,1,1467,3,218,0.997959,0.870623,0.929952
0,sigprofilerassignment,SigProfilerAssignment,SP.Syn.Kidney-RCC,300,0.999923,0.000718,1,0.999999,1,0.989048,1,1,0,1,1,1,1,1,0.980778,0.074765,1,1,1,0.5,1,0.988601,0.045139,1,1,1,0.666667,1,949,0,24,1,0.975334,0.987513
0,sigprofilerassignment,SigProfilerAssignment,SP.Syn.Lung-SCC,300,0.999946,0.000572,1,1,1,0.990623,1,1,0,1,1,1,1,1,0.862278,0.133508,0.8,0.8,1,0.4,1,0.920199,0.082373,0.888889,0.888889,1,0.571429,1,1127,0,190,1,0.855733,0.922259
0,sigprofilerassignment,SigProfilerAssignment,SP.Syn.Ovary-AdenoCA,300,0.998685,0.007357,1,0.999998,1,0.926747,1,1,0,1,1,1,1,1,0.964786,0.098014,1,1,1,0.428571,1,0.979085,0.060394,1,1,1,0.6,1,1267,0,59,1,0.955505,0.977246
0,sigprofilerassignment,SigProfilerAssignment,SP.Syn.Stomach-AdenoCA,300,0.996334,0.009141,0.999766,0.997594,0.999999,0.938436,1,0.995333,0.038728,1,1,1,0.5,1,0.727335,0.20834,0.75,0.6,0.857143,0.142857,1,0.822738,0.153305,0.857143,0.744318,0.923077,0.25,1,1179,5,493,0.995777,0.705144,0.82563
0,musical,MuSiCal,SP.Syn.Bladder-TCC,300,0.999882,0.000768,1,1,1,0.993526,1,1,0,1,1,1,1,1,0.969833,0.079868,1,1,1,0.6,1,0.982836,0.04581,1,1,1,0.75,1,1228,0,41,1,0.967691,0.98358
0,musical,MuSiCal,SP.Syn.Bone-Osteosarc,300,0.998988,0.003529,0.999985,0.999149,0.999999,0.946275,1,0.997333,0.046188,1,1,1,0.2,1,0.87656,0.147372,1,0.7875,1,0.333333,1,0.925783,0.09808,1,0.880952,1,0.285714,1,1221,4,180,0.996735,0.87152,0.929931
0,musical,MuSiCal,SP.Syn.Breast-AdenoCA,300,0.999935,0.000308,0.999999,0.999997,1,0.996983,1,1,0,1,1,1,1,1,0.948373,0.105942,1,1,1,0.4,1,0.970051,0.063947,1,1,1,0.571429,1,1349,0,81,1,0.943357,0.970853
0,musical,MuSiCal,SP.Syn.Cervix-AdenoCA,300,1,0,1,1,1,0.999999,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,600,0,0,1,1,1
0,musical,MuSiCal,SP.Syn.Eso-AdenoCA,300,0.999499,0.00148,1,0.999902,1,0.985973,1,1,0,1,1,1,1,1,0.922045,0.113706,1,0.833333,1,0.5,1,0.955489,0.06721,1,0.909091,1,0.666667,1,1542,0,143,1,0.915134,0.955686
0,musical,MuSiCal,SP.Syn.Kidney-RCC,300,0.999653,0.000869,0.999999,0.999994,1,0.995713,1,1,0,1,1,1,1,1,0.926056,0.137281,1,1,1,0.5,1,0.955712,0.083101,1,1,1,0.666667,1,897,0,76,1,0.921891,0.959358
0,musical,MuSiCal,SP.Syn.Lung-SCC,300,0.999989,0.000023,1,0.999987,1,0.999815,1,1,0,1,1,1,1,1,0.871667,0.11828,0.8,0.8,1,0.6,1,0.927124,0.068542,0.888889,0.888889,1,0.75,1,1140,0,177,1,0.865604,0.927961
0,musical,MuSiCal,SP.Syn.Ovary-AdenoCA,300,0.999203,0.002424,0.999999,0.99999,1,0.976909,1,1,0,1,1,1,1,1,0.94204,0.111336,1,1,1,0.5,1,0.966359,0.066616,1,1,1,0.666667,1,1241,0,85,1,0.935897,0.966887
0,musical,MuSiCal,SP.Syn.Stomach-AdenoCA,300,0.999426,0.001754,0.999974,0.999674,1,0.984405,1,0.998889,0.019245,1,1,1,0.666667,1,0.796865,0.189967,0.833333,0.666667,1,0.142857,1,0.872483,0.135379,0.909091,0.8,1,0.25,1,1304,1,368,0.999234,0.779904,0.87605
5,deconstructsigs,deconstructSigs,SP.Syn.Bladder-TCC,300,0.954757,0.060289,0.980551,0.930833,0.998596,0.625593,0.999973,0.507088,0.249084,0.428571,0.307692,0.666667,0.142857,1,0.853111,0.169873,1,0.75,1,0.25,1,0.606371,0.207525,0.571429,0.444444,0.75,0.2,1,1077,1501,192,0.417766,0.8487,0.559917
5,deconstructsigs,deconstructSigs,SP.Syn.Bone-Osteosarc,300,0.990392,0.017635,0.996858,0.990711,0.998892,0.879383,0.999907,0.683111,0.261914,0.714286,0.444444,1,0.142857,1,0.825524,0.206158,0.928571,0.666667,1,0.25,1,0.731939,0.227031,0.8,0.545455,0.909091,0.181818,1,1151,711,250,0.618153,0.821556,0.705486
5,deconstructsigs,deconstructSigs,SP.Syn.Breast-AdenoCA,300,0.972454,0.046736,0.996496,0.970317,0.998929,0.737183,0.999877,0.618262,0.244384,0.625,0.384615,0.8,0.142857,1,0.903151,0.157872,1,0.8,1,0.4,1,0.708047,0.198634,0.727273,0.533333,0.888889,0.222222,1,1282,1135,148,0.53041,0.896503,0.666493
5,deconstructsigs,deconstructSigs,SP.Syn.Cervix-AdenoCA,300,0.995372,0.02493,0.999046,0.99807,0.999431,0.621353,0.999903,0.590312,0.224093,0.5,0.4,0.666667,0.133333,1,1,0,1,1,1,1,1,0.718178,0.174848,0.666667,0.571429,0.8,0.235294,1,600,597,0,0.501253,1,0.66778
5,deconstructsigs,deconstructSigs,SP.Syn.Eso-AdenoCA,300,0.981007,0.028146,0.991612,0.977583,0.997718,0.803789,0.999884,0.675837,0.226039,0.7,0.5,0.857143,0.153846,1,0.864512,0.166346,1,0.75,1,0.166667,1,0.739199,0.183345,0.769231,0.6,0.888889,0.210526,1,1446,923,239,0.610384,0.85816,0.71337
5,deconstructsigs,deconstructSigs,SP.Syn.Kidney-RCC,300,0.996995,0.003883,0.998322,0.996636,0.999315,0.97552,1,0.623438,0.271652,0.666667,0.4,0.8,0.083333,1,0.823111,0.241136,1,0.666667,1,0.25,1,0.695753,0.253339,0.75,0.5,0.888889,0.133333,1,800,639,173,0.555942,0.822199,0.66335
5,deconstructsigs,deconstructSigs,SP.Syn.Lung-SCC,300,0.984273,0.031254,0.994466,0.983472,0.99867,0.648196,0.999896,0.53511,0.21938,0.5,0.363636,0.666667,0.133333,1,0.834389,0.12912,0.8,0.75,1,0.4,1,0.628781,0.172773,0.615385,0.5,0.75,0.210526,1,1088,1297,229,0.456184,0.82612,0.58779
5,deconstructsigs,deconstructSigs,SP.Syn.Ovary-AdenoCA,300,0.993696,0.016906,0.997897,0.995147,0.999182,0.78983,0.999913,0.75517,0.220416,0.8,0.625,1,0.142857,1,0.936913,0.131707,1,1,1,0.333333,1,0.821711,0.175759,0.857143,0.75,1,0.2,1,1235,546,91,0.693431,0.931373,0.794979
5,deconstructsigs,deconstructSigs,SP.Syn.Stomach-AdenoCA,300,0.987931,0.026926,0.997136,0.988253,0.998997,0.724151,0.999914,0.66118,0.216334,0.666667,0.5,0.808333,0.2,1,0.748037,0.198913,0.75,0.6,1,0.142857,1,0.674863,0.169125,0.666667,0.555556,0.8,0.222222,1,1234,809,438,0.604014,0.738038,0.664334
5,sigminer,sigminer,SP.Syn.Bladder-TCC,300,0.986979,0.021619,0.993734,0.986855,0.997665,0.823278,0.999939,0.621465,0.195465,0.6,0.5,0.75,0.1875,1,0.923,0.132602,1,0.8,1,0.5,1,0.724821,0.156608,0.727273,0.615385,0.833333,0.285714,1,1169,886,100,0.568856,0.921198,0.703369
5,sigminer,sigminer,SP.Syn.Bone-Osteosarc,300,0.993754,0.01357,0.997637,0.994586,0.998878,0.872773,0.999846,0.736889,0.19804,0.75,0.6,0.857143,0.125,1,0.897468,0.135761,1,0.8,1,0.333333,1,0.792302,0.149931,0.8,0.714286,0.893939,0.2,1,1254,546,147,0.696667,0.895075,0.783505
5,sigminer,sigminer,SP.Syn.Breast-AdenoCA,300,0.990172,0.014152,0.995153,0.988697,0.997877,0.90017,0.99973,0.641749,0.17805,0.625,0.5,0.8,0.230769,1,0.934405,0.115435,1,0.833333,1,0.4,1,0.744379,0.137576,0.75,0.666667,0.833333,0.363636,1,1330,868,100,0.605096,0.93007,0.733186
5,sigminer,sigminer,SP.Syn.Cervix-AdenoCA,300,0.99006,0.034384,0.997675,0.993782,0.998798,0.569712,0.999833,0.413193,0.20352,0.4,0.25,0.5,0.125,1,1,0,1,1,1,1,1,0.558482,0.185788,0.571429,0.4,0.666667,0.222222,1,600,1207,0,0.332042,1,0.498546
5,sigminer,sigminer,SP.Syn.Eso-AdenoCA,300,0.992099,0.009174,0.99539,0.989993,0.998035,0.945253,0.999943,0.767043,0.170082,0.75,0.659091,0.875,0.25,1,0.908212,0.122697,1,0.833333,1,0.333333,1,0.817468,0.120719,0.833333,0.75,0.909091,0.352941,1,1523,561,162,0.730806,0.903858,0.808172
5,sigminer,sigminer,SP.Syn.Kidney-RCC,300,0.996874,0.003603,0.99813,0.996107,0.99904,0.970844,0.99997,0.659145,0.195932,0.6,0.5,0.75,0.230769,1,0.933944,0.130867,1,1,1,0.5,1,0.754308,0.147344,0.75,0.666667,0.857143,0.375,1,906,589,67,0.60602,0.931141,0.734198
5,sigminer,sigminer,SP.Syn.Lung-SCC,300,0.996239,0.004407,0.997424,0.995339,0.998713,0.947367,0.999791,0.654082,0.178796,0.666667,0.5,0.8,0.222222,1,0.860333,0.122158,0.8,0.8,1,0.5,1,0.727802,0.12791,0.727273,0.666667,0.8,0.333333,1,1125,700,192,0.616438,0.854214,0.716104
5,sigminer,sigminer,SP.Syn.Ovary-AdenoCA,300,0.993701,0.016559,0.99694,0.993985,0.998182,0.766054,0.999774,0.705905,0.185678,0.714286,0.571429,0.833333,0.214286,1,0.949746,0.105647,1,1,1,0.5,1,0.792156,0.13334,0.8,0.727273,0.888889,0.352941,1,1257,635,69,0.664376,0.947964,0.781231
5,sigminer,sigminer,SP.Syn.Stomach-AdenoCA,300,0.992745,0.012841,0.996929,0.992822,0.998537,0.878441,0.999892,0.688813,0.198712,0.666667,0.555556,0.833333,0.25,1,0.771298,0.198765,0.8,0.666667,1,0.142857,1,0.70591,0.166945,0.727273,0.6,0.833333,0.222222,1,1268,665,404,0.655975,0.758373,0.703467
5,sigprofilerassignment,SigProfilerAssignment,SP.Syn.Bladder-TCC,300,0.994177,0.018684,0.999828,0.999288,0.999944,0.849306,0.999999,0.999333,0.011547,1,1,1,0.8,1,0.930333,0.131185,1,0.833333,1,0.2,1,0.957911,0.083947,1,0.90404,1,0.333333,1,1172,1,97,0.999147,0.923562,0.959869
5,sigprofilerassignment,SigProfilerAssignment,SP.Syn.Bone-Osteosarc,300,0.991226,0.031388,0.999466,0.996948,0.999866,0.637263,0.999998,0.994944,0.036441,1,1,1,0.666667,1,0.863048,0.161373,1,0.75,1,0.333333,1,0.915511,0.104808,1,0.857143,1,0.5,1,1184,6,217,0.994958,0.845111,0.913933
5,sigprofilerassignment,SigProfilerAssignment,SP.Syn.Breast-AdenoCA,300,0.995659,0.016358,0.999716,0.998801,0.999906,0.868095,0.999998,1,0,1,1,1,1,1,0.888556,0.144626,1,0.8,1,0.4,1,0.93416,0.089902,1,0.888889,1,0.571429,1,1257,0,173,1,0.879021,0.935616
5,sigprofilerassignment,SigProfilerAssignment,SP.Syn.Cervix-AdenoCA,300,0.999881,0.00022,0.999955,0.999872,0.999988,0.997709,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,600,0,0,1,1,1
5,sigprofilerassignment,SigProfilerAssignment,SP.Syn.Eso-AdenoCA,300,0.985904,0.029935,0.998996,0.990961,0.999785,0.802435,0.999995,0.997,0.026011,1,1,1,0.75,1,0.840532,0.164142,0.833333,0.714286,1,0.25,1,0.902963,0.108754,0.909091,0.833333,1,0.4,1,1396,4,289,0.997143,0.828487,0.905024
5,sigprofilerassignment,SigProfilerAssignment,SP.Syn.Kidney-RCC,300,0.99928,0.004947,0.999904,0.999676,0.999973,0.921632,1,0.996944,0.030706,1,1,1,0.666667,1,0.963333,0.105268,1,1,1,0.4,1,0.976016,0.067595,1,1,1,0.571429,1,930,3,43,0.996785,0.955807,0.975866
5,sigprofilerassignment,SigProfilerAssignment,SP.Syn.Lung-SCC,300,0.999512,0.002628,0.999905,0.999782,0.999968,0.960102,0.999999,1,0,1,1,1,1,1,0.843111,0.157863,0.8,0.75,1,0.4,1,0.906109,0.103541,0.888889,0.857143,1,0.571429,1,1102,0,215,1,0.83675,0.91112
5,sigprofilerassignment,SigProfilerAssignment,SP.Syn.Ovary-AdenoCA,300,0.994406,0.019545,0.999719,0.999001,0.999926,0.857912,0.999998,0.999167,0.014434,1,1,1,0.75,1,0.926786,0.134003,1,0.833333,1,0.428571,1,0.955796,0.083067,1,0.909091,1,0.6,1,1212,1,114,0.999176,0.914027,0.954707
5,sigprofilerassignment,SigProfilerAssignment,SP.Syn.Stomach-AdenoCA,300,0.99408,0.012365,0.998902,0.995015,0.999734,0.911939,1,0.995333,0.038728,1,1,1,0.5,1,0.693601,0.208141,0.666667,0.571429,0.833333,0.142857,1,0.798889,0.156946,0.8,0.727273,0.909091,0.25,1,1126,5,546,0.995579,0.673445,0.803425
5,musical,MuSiCal,SP.Syn.Bladder-TCC,300,0.998698,0.010846,0.999846,0.99952,0.999946,0.818524,0.999999,0.989602,0.075626,1,1,1,0.222222,1,0.9645,0.094172,1,1,1,0.5,1,0.974087,0.081286,1,1,1,0.333333,1,1221,25,48,0.979936,0.962175,0.970974
5,musical,MuSiCal,SP.Syn.Bone-Osteosarc,300,0.997986,0.005654,0.999407,0.99809,0.999873,0.934966,0.999998,0.988849,0.080794,1,1,1,0.25,1,0.872004,0.149664,1,0.75,1,0.333333,1,0.917833,0.107806,1,0.857143,1,0.333333,1,1215,19,186,0.984603,0.867238,0.922201
5,musical,MuSiCal,SP.Syn.Breast-AdenoCA,300,0.999444,0.001874,0.99982,0.999514,0.999938,0.977987,0.999998,0.993944,0.052558,1,1,1,0.333333,1,0.943095,0.108011,1,1,1,0.5,1,0.964128,0.074886,1,1,1,0.461538,1,1342,12,88,0.991137,0.938462,0.96408
5,musical,MuSiCal,SP.Syn.Cervix-AdenoCA,300,0.999882,0.000221,0.999955,0.999872,0.999988,0.997701,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,600,0,0,1,1,1
5,musical,MuSiCal,SP.Syn.Eso-AdenoCA,300,0.998686,0.002709,0.9996,0.998856,0.999853,0.975326,0.999998,0.992706,0.045744,1,1,1,0.5,1,0.917537,0.117724,1,0.833333,1,0.5,1,0.949442,0.076777,1,0.909091,1,0.571429,1,1535,13,150,0.991602,0.910979,0.949582
5,musical,MuSiCal,SP.Syn.Kidney-RCC,300,0.999397,0.001058,0.999804,0.999442,0.999958,0.99399,1,1,0,1,1,1,1,1,0.919111,0.142474,1,0.8,1,0.5,1,0.951458,0.086514,1,0.888889,1,0.666667,1,891,0,82,1,0.915725,0.956009
5,musical,MuSiCal,SP.Syn.Lung-SCC,300,0.999845,0.000209,0.999913,0.999805,0.999967,0.998291,0.999999,1,0,1,1,1,1,1,0.874778,0.118358,0.8,0.8,1,0.6,1,0.928902,0.068536,0.888889,0.888889,1,0.75,1,1144,0,173,1,0.868641,0.929703
5,musical,MuSiCal,SP.Syn.Ovary-AdenoCA,300,0.998748,0.003052,0.999737,0.999048,0.999924,0.968238,0.999998,1,0,1,1,1,1,1,0.940373,0.111337,1,1,1,0.5,1,0.965502,0.066037,1,1,1,0.666667,1,1239,0,87,1,0.934389,0.966082
5,musical,MuSiCal,SP.Syn.Stomach-AdenoCA,300,0.998445,0.004519,0.999602,0.998909,0.999867,0.94552,1,0.980948,0.087445,1,1,1,0.25,1,0.785376,0.189165,0.8,0.666667,1,0.142857,1,0.856765,0.143524,0.888889,0.769231,1,0.25,1,1288,36,384,0.97281,0.770335,0.859813
10,deconstructsigs,deconstructSigs,SP.Syn.Bladder-TCC,300,0.919809,0.094843,0.957378,0.86864,0.995133,0.411935,0.999871,0.408872,0.199296,0.333333,0.272727,0.5,0.125,1,0.818278,0.184901,0.8,0.666667,1,0.25,1,0.522101,0.177651,0.5,0.4,0.617788,0.2,1,1032,1929,237,0.348531,0.813239,0.487943
10,deconstructsigs,deconstructSigs,SP.Syn.Bone-Osteosarc,300,0.981251,0.029733,0.992022,0.983214,0.996786,0.829999,0.999698,0.47165,0.191137,0.444444,0.333333,0.6,0.1,1,0.801571,0.19976,0.8,0.666667,1,0.25,1,0.58047,0.184342,0.594118,0.444444,0.714286,0.142857,1,1116,1454,285,0.434241,0.796574,0.562075
10,deconstructsigs,deconstructSigs,SP.Syn.Breast-AdenoCA,300,0.945658,0.083558,0.988145,0.921677,0.996108,0.549375,0.999446,0.461446,0.181352,0.428571,0.333333,0.559524,0.142857,1,0.877619,0.1652,1,0.8,1,0.4,1,0.586785,0.162884,0.571429,0.470588,0.701471,0.210526,1,1244,1750,186,0.415498,0.86993,0.562387
10,deconstructsigs,deconstructSigs,SP.Syn.Cervix-AdenoCA,300,0.989457,0.037433,0.996157,0.991847,0.997775,0.47607,0.999637,0.355472,0.132045,0.333333,0.285714,0.4,0.076923,1,0.998333,0.028868,1,1,1,0.5,1,0.511757,0.132511,0.5,0.444444,0.571429,0.133333,1,599,1300,1,0.315429,0.998333,0.479392
10,deconstructsigs,deconstructSigs,SP.Syn.Eso-AdenoCA,300,0.963084,0.04734,0.98097,0.947525,0.994572,0.69231,0.999626,0.530735,0.172083,0.5,0.415441,0.666667,0.166667,1,0.838574,0.171318,0.833333,0.714286,1,0.166667,1,0.63258,0.146978,0.628289,0.533333,0.736842,0.222222,1,1401,1464,284,0.489005,0.831454,0.615824
10,deconstructsigs,deconstructSigs,SP.Syn.Kidney-RCC,300,0.992573,0.007758,0.995435,0.990381,0.997379,0.935757,1,0.36077,0.1676,0.333333,0.25,0.428571,0.076923,1,0.795778,0.238072,1,0.666667,1,0.25,1,0.484453,0.18224,0.5,0.363636,0.6,0.125,1,771,1575,202,0.328645,0.792395,0.464598
10,deconstructsigs,deconstructSigs,SP.Syn.Lung-SCC,300,0.954167,0.070607,0.978808,0.949208,0.995263,0.410561,0.999506,0.346984,0.123132,0.3125,0.266667,0.4,0.133333,0.8,0.828111,0.129676,0.8,0.75,1,0.4,1,0.477198,0.118292,0.461538,0.4,0.545455,0.210526,0.888889,1081,2345,236,0.315528,0.820805,0.45583
10,deconstructsigs,deconstructSigs,SP.Syn.Ovary-AdenoCA,300,0.98514,0.027206,0.99272,0.985065,0.996736,0.693006,0.9998,0.520326,0.174951,0.5,0.4,0.625,0.125,1,0.90254,0.157662,1,0.8,1,0.333333,1,0.646446,0.160439,0.666667,0.545455,0.769231,0.181818,1,1187,1268,139,0.483503,0.895173,0.627876
10,deconstructsigs,deconstructSigs,SP.Syn.Stomach-AdenoCA,300,0.973319,0.04949,0.991798,0.974321,0.996887,0.581602,0.999899,0.504352,0.192321,0.5,0.375,0.6,0.142857,1,0.710155,0.203675,0.714286,0.571429,0.833333,0.142857,1,0.561059,0.151191,0.571429,0.461538,0.666667,0.181818,1,1169,1400,503,0.455041,0.699163,0.551285
10,sigminer,sigminer,SP.Syn.Bladder-TCC,300,0.957338,0.056711,0.977851,0.948578,0.990439,0.588489,0.999755,0.396105,0.129184,0.375,0.3,0.454545,0.142857,1,0.879778,0.150202,1,0.75,1,0.4,1,0.534546,0.125749,0.533333,0.444444,0.615385,0.222222,1,1114,1901,155,0.369486,0.877857,0.520075
10,sigminer,sigminer,SP.Syn.Bone-Osteosarc,300,0.981633,0.031445,0.991395,0.980806,0.995906,0.704516,0.999566,0.453683,0.154158,0.428571,0.363636,0.5,0.1,1,0.853563,0.149118,0.833333,0.75,1,0.333333,1,0.579531,0.143509,0.571429,0.5,0.666667,0.166667,1,1194,1575,207,0.431203,0.852248,0.572662
